Unnamed: 0,course_title,course_organization,course_difficulty,course_students_enrolled,category
134,isc systems security certified practitioner sscp,isc,beginner,5300.0,other
743,a crash course in causality  inferring causal effects from observational data,university of pennsylvania,intermediate,17000.0,data
874,a crash course in data science,johns hopkins university,mixed,130000.0,data
413,a law students toolkit,yale university,mixed,91000.0,law
635,a life of happiness and fulfillment,indian school of business,mixed,320000.0,other
661,adhd everyday strategies for elementary students,university at buffalo,beginner,39000.0,other
54,ai for everyone,deeplearningai,beginner,350000.0,ai
488,ai for medical treatment,deeplearningai,intermediate,2400.0,ai
58,ai foundations for everyone,ibm,beginner,61000.0,ai
129,ai for medical diagnosis,deeplearningai,intermediate,12000.0,ai
283,ai for medical prognosis,deeplearningai,intermediate,4000.0,ai
35,ai for medicine,deeplearningai,intermediate,13000.0,ai
43,aws fundamentals,amazon web services,beginner,130000.0,other
631,aws fundamentals addressing security risk,amazon web services,beginner,11000.0,other
861,aws fundamentals building serverless applications,amazon web services,beginner,27000.0,other
281,aws fundamentals going cloudnative,amazon web services,beginner,110000.0,cloud
828,aws fundamentals migrating to the cloud,amazon web services,intermediate,13000.0,cloud
819,aboriginal worldviews and education,university of toronto,mixed,6600.0,other
63,academic english writing,university of california irvine,beginner,540000.0,english
142,accelerated computer science fundamentals,university of illinois at urbanachampaign,intermediate,22000.0,science
612,access controls,isc,beginner,2900.0,other
604,accounting analytics,university of pennsylvania,mixed,80000.0,analytics
727,accounting for decision making,university of michigan,intermediate,9900.0,other
51,achieving personal and professional success,university of pennsylvania,beginner,110000.0,other
838,actualizacin en el manejo del paciente con diabetes mellitus tipo ,universidad nacional autnoma de mxico,mixed,23000.0,other
330,addiction treatment clinical skills for healthcare providers,yale university,beginner,9200.0,health
247,advanced business analytics,university of colorado boulder,intermediate,78000.0,business
157,advanced data science with ibm,ibm,advanced,320000.0,data
103,advanced machine learning,national research university higher school of economics,advanced,190000.0,machine
324,advanced machine learning with tensorflow on google cloud platform,google cloud,advanced,35000.0,cloud
266,advanced valuation and strategy  ma private equity and venture capital,erasmus university rotterdam,advanced,29000.0,strategy
825,advertising and society,duke university,mixed,14000.0,other
853,age of cathedrals,yale university,beginner,21000.0,other
75,agile development,university of virginia,beginner,94000.0,development
482,agile meets design thinking,university of virginia,beginner,69000.0,design
212,agile with atlassian jira,atlassian,beginner,40000.0,other
846,agile  scrum      ,scrumtrek,beginner,12000.0,other
561,algorithmic toolbox,university of california san diego,intermediate,220000.0,other
78,algorithms,stanford university,intermediate,150000.0,other
242,algorithms for battery management systems,university of colorado system,intermediate,14000.0,management
322,american contract law i,yale university,beginner,18000.0,law
159,an introduction to american law,university of pennsylvania,beginner,23000.0,law
265,an introduction to consumer neuroscience  neuromarketing,copenhagen business school,beginner,69000.0,science
151,an introduction to programming the internet of things iot,university of california irvine,beginner,270000.0,programming
752,analysing numeric and digital literacies,macquarie university,beginner,7900.0,digital
119,anatomy,university of michigan,beginner,30000.0,other
302,anatomy of the chest abdomen and pelvis,yale university,intermediate,36000.0,other
508,anatomy musculoskeletal and integumentary systems,university of michigan,beginner,20000.0,other
797,ancient philosophy aristotle and his successors,university of pennsylvania,mixed,8100.0,other
390,android app development,vanderbilt university,beginner,120000.0,development
201,animal behaviour and welfare,the university of edinburgh,mixed,71000.0,other
663,antibiotic stewardship,stanford university,advanced,11000.0,other
514,anticorrupcin introduccin a conceptos y perspectiva prctica,universidad nacional autnoma de mxico,beginner,11000.0,other
799,antimicrobial resistance  theory and methods,technical university of denmark dtu,intermediate,63000.0,other
8,applied data science,ibm,beginner,220000.0,data
637,applied data science capstone,ibm,intermediate,42000.0,data
26,applied data science with python,university of michigan,intermediate,480000.0,data
630,applied machine learning in python,university of michigan,intermediate,150000.0,python
491,applied plotting charting  data representation in python,university of michigan,intermediate,97000.0,data
888,aprende a programar con python,universidad austral,beginner,6600.0,python
512,aprender,universidad nacional autnoma de mxico,mixed,200000.0,other
551,aprendiendo a aprender poderosas herramientas mentales con las que podrs dominar temas difciles learning how to learn,university of california san diego,beginner,180000.0,other
437,architecting with google cloud platform ,google cloud,intermediate,4200.0,cloud
10,architecting with google compute engine,google cloud,intermediate,310000.0,other
573,architecting with google kubernetes engine ,google cloud,beginner,3900.0,other
56,arizona state university tesol,arizona state university,beginner,150000.0,other
479,art  activity interactive strategies for engaging with art,the museum of modern art,mixed,79000.0,other
452,art  ideas teaching with themes,the museum of modern art,mixed,31000.0,other
651,arts and culture strategy,national arts strategies,mixed,15000.0,strategy
326,arts and heritage management,universit bocconi,mixed,15000.0,management
877,aspectos bsicos de la planificacin y la gestin de proyectos,university of virginia,beginner,10000.0,other
753,astrobiology and the search for extraterrestrial life,the university of edinburgh,mixed,66000.0,other
782,atencin primaria en salud el desafo de las enfermedades no transmisibles,pontificia universidad catlica de chile,intermediate,33000.0,other
210,autism spectrum disorder,university of california davis,mixed,56000.0,other
885,autodesk cadcam for manufacturing,autodesk,intermediate,7300.0,other
468,autodesk cadcamcae for mechanical engineering,autodesk,intermediate,9200.0,engineering
702,autodesk certified professional autocad for design and drafting exam prep,autodesk,advanced,22000.0,design
590,autodesk certified professional revit for architectural design exam prep,autodesk,advanced,9700.0,design
816,bim fundamentals for engineers,national taiwan university,beginner,13000.0,other
642,basic statistics,university of amsterdam,beginner,180000.0,statistics
493,bayesian statistics from concept to data analysis,university of california santa cruz,intermediate,91000.0,data
602,bayesian statistics techniques and models,university of california santa cruz,intermediate,29000.0,statistics
106,become a cbrs certified professional installer by google,google  spectrum sharing,mixed,210000.0,other
294,become a journalist report the news,michigan state university,beginner,28000.0,other
809,become a sustainable business change agent,university of colorado system,intermediate,4200.0,business
776,becoming a sports agent,case western reserve university,beginner,6500.0,other
672,becoming a changemaker introduction to social innovation,university of cape town,beginner,61000.0,social
269,behavioral finance,duke university,mixed,55000.0,finance
456,beyond the sustainable development goals sdgs addressing sustainability and development,university of michigan,mixed,2300.0,development
498,big data  introduccin al uso prctico de datos masivos,universitat autnoma de barcelona,beginner,8800.0,data
687,biohacking your brains health,emory university,beginner,35000.0,health
565,biology meets programming bioinformatics for beginners,university of california san diego,beginner,88000.0,programming
131,biostatistics in public health,johns hopkins university,beginner,14000.0,health
751,blended language learning design and practice for teachers,university of colorado boulder,intermediate,1900.0,design
251,blockchain,university at buffalo,intermediate,68000.0,ai
143,blockchain revolution,insead,beginner,21000.0,ai
462,blockchain revolution in financial services,insead,beginner,1600.0,financial
719,blockchain foundations and use cases,consensys academy,beginner,31000.0,ai
645,boosting creativity for innovation,hec paris,beginner,9500.0,other
72,brand management aligning business brand and behaviour,london business school,beginner,57000.0,management
238,branding the creative journey,ie business school,beginner,26000.0,other
486,budgeting and scheduling projects,university of california irvine,mixed,84000.0,other
688,bugs  insecthuman interactions,university of alberta,beginner,15000.0,other
395,build a modern computer from first principles from nand to tetris projectcentered course,hebrew university of jerusalem,mixed,95000.0,other
653,building batch data pipelines on gcp,google cloud,intermediate,7300.0,data
670,building conversational experiences with dialogflow,google cloud,beginner,22000.0,other
884,building resilient streaming analytics systems on gcp,google cloud,intermediate,5800.0,analytics
610,building scalable java microservices with spring boot and spring cloud,google cloud,intermediate,24000.0,cloud
824,building your leadership skills,hec paris,mixed,67000.0,leadership
17,business analytics,university of pennsylvania,beginner,280000.0,business
611,business english,arizona state university,intermediate,38000.0,business
168,business english communication skills,university of washington,intermediate,120000.0,business
738,business english networking,university of washington,intermediate,77000.0,business
7,business foundations,university of pennsylvania,beginner,510000.0,business
410,business model innovation,hec paris,mixed,13000.0,business
96,business statistics and analysis,rice university,beginner,110000.0,business
126,business strategies for a better world,university of pennsylvania,beginner,24000.0,business
104,business strategy,university of virginia,beginner,89000.0,business
233,business technology management,indian school of business,beginner,67000.0,management
478,business transformation with google cloud,google cloud,beginner,10000.0,business
